Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
"Fri, Mar 29, 2024",9:00p,Minnesota Timberwolves,111,Denver Nuggets,98,Box Score,,"19,844",Ball Arena,
"Fri, Mar 29, 2024",9:30p,Houston Rockets,101,Utah Jazz,100,Box Score,,"18,206",Delta Center,
"Fri, Mar 29, 2024",10:00p,Dallas Mavericks,107,Sacramento Kings,103,Box Score,,"17,832",Golden 1 Center,
"Sat, Mar 30, 2024",5:00p,Boston Celtics,104,New Orleans Pelicans,92,Box Score,,"17,932",Smoothie King Center,
"Sat, Mar 30, 2024",7:00p,Memphis Grizzlies,88,Orlando Magic,118,Box Score,,"18,009",Kia Center,
"Sat, Mar 30, 2024",7:30p,Milwaukee Bucks,122,Atlanta Hawks,113,Box Score,,"17,7",State Farm Arena,
"Sun, Mar 31, 2024",3:30p,Cleveland Cavaliers,101,Denver Nuggets,130,Box Score,,"19,621",Ball Arena,
"Sun, Mar 31, 2024",6:00p,Los Angeles Lakers,116,Brooklyn Nets,104,Box Score,,"18,162",Barclays Center,
"Sun, Mar 31, 2024",6:00p,Los Angeles Clippers,130,Charlotte Hornets,118,Box Score,,"15,941",Spectrum Center,
"Sun, Mar 31, 2024",6:00p,Philadelphia 76ers,135,Toronto Raptors,120,Box Score,,"19,114",Scotiabank Arena,
"Sun, Mar 31, 2024",6:00p,Miami Heat,119,Washington Wizards,107,Box Score,,"16,039",Capital One Arena,
"Sun, Mar 31, 2024",7:00p,Dallas Mavericks,125,Houston Rockets,107,Box Score,,"18,055",Toyota Center,
"Sun, Mar 31, 2024",7:00p,Chicago Bulls,109,Minnesota Timberwolves,101,Box Score,,"18,024",Target Center,
"Sun, Mar 31, 2024",7:00p,Oklahoma City Thunder,113,New York Knicks,112,Box Score,,"19,812",Madison Square Garden (IV),
"Sun, Mar 31, 2024",7:00p,Golden State Warriors,117,San Antonio Spurs,113,Box Score,,"18,718",Frost Bank Center,
"Sun, Mar 31, 2024",9:00p,Utah Jazz,106,Sacramento Kings,127,Box Score,,"18,332",Golden 1 Center,
