Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
"Fri, Jan 5, 2024",8:00p,Los Angeles Clippers,111,New Orleans Pelicans,95,Box Score,,"18,329",Smoothie King Center,
"Fri, Jan 5, 2024",8:30p,Portland Trail Blazers,103,Dallas Mavericks,139,Box Score,,"20,162",American Airlines Center,
"Fri, Jan 5, 2024",9:00p,Orlando Magic,122,Denver Nuggets,120,Box Score,,"19,659",Ball Arena,
"Fri, Jan 5, 2024",9:00p,Miami Heat,97,Phoenix Suns,113,Box Score,,"17,071",Footprint Center,
"Fri, Jan 5, 2024",10:00p,Detroit Pistons,109,Golden State Warriors,113,Box Score,,"18,064",Chase Center,
"Fri, Jan 5, 2024",10:00p,Memphis Grizzlies,127,Los Angeles Lakers,113,Box Score,,"18,997",Crypto.com Arena,
"Fri, Jan 5, 2024",10:00p,Toronto Raptors,130,Sacramento Kings,135,Box Score,,"17,941",Golden 1 Center,
"Sat, Jan 6, 2024",7:00p,Boston Celtics,118,Indiana Pacers,101,Box Score,,"17,274",Gainbridge Fieldhouse,
"Sat, Jan 6, 2024",7:00p,New York Knicks,121,Washington Wizards,105,Box Score,,"20,333",Capital One Arena,
"Sat, Jan 6, 2024",7:30p,Utah Jazz,120,Philadelphia 76ers,109,Box Score,,"20,278",Wells Fargo Center,
"Sat, Jan 6, 2024",8:00p,Milwaukee Bucks,108,Houston Rockets,112,Box Score,,"18,055",Toyota Center,
"Sun, Jan 7, 2024",1:00p,San Antonio Spurs,115,Cleveland Cavaliers,117,Box Score,,"19,432",Rocket Mortgage Fieldhouse,
"Sun, Jan 7, 2024",3:00p,Portland Trail Blazers,134,Brooklyn Nets,127,Box Score,OT,"17,732",Barclays Center,
"Sun, Jan 7, 2024",6:00p,Atlanta Hawks,110,Orlando Magic,117,Box Score,OT,"19,349",Kia Center,
"Sun, Jan 7, 2024",6:00p,New Orleans Pelicans,133,Sacramento Kings,100,Box Score,,"17,832",Golden 1 Center,
"Sun, Jan 7, 2024",7:30p,Minnesota Timberwolves,108,Dallas Mavericks,115,Box Score,,"20,111",American Airlines Center,
"Sun, Jan 7, 2024",8:00p,Detroit Pistons,114,Denver Nuggets,131,Box Score,,"19,623",Ball Arena,
"Sun, Jan 7, 2024",8:00p,Memphis Grizzlies,121,Phoenix Suns,115,Box Score,,"17,071",Footprint Center,
"Sun, Jan 7, 2024",8:30p,Toronto Raptors,133,Golden State Warriors,118,Box Score,,"18,064",Chase Center,
"Sun, Jan 7, 2024",9:30p,Los Angeles Clippers,103,Los Angeles Lakers,106,Box Score,,"18,997",Crypto.com Arena,
"Mon, Jan 8, 2024",7:00p,Chicago Bulls,119,Charlotte Hornets,112,Box Score,OT,"14,418",Spectrum Center,
"Mon, Jan 8, 2024",7:00p,Boston Celtics,131,Indiana Pacers,133,Box Score,,"16,009",Gainbridge Fieldhouse,
"Mon, Jan 8, 2024",7:00p,Oklahoma City Thunder,136,Washington Wizards,128,Box Score,,"15,297",Capital One Arena,
"Mon, Jan 8, 2024",7:30p,Houston Rockets,113,Miami Heat,120,Box Score,,"19,694",Kaseya Center,
"Mon, Jan 8, 2024",8:00p,Utah Jazz,132,Milwaukee Bucks,116,Box Score,,"17,341",Fiserv Forum,
"Mon, Jan 8, 2024",10:30p,Phoenix Suns,111,Los Angeles Clippers,138,Box Score,,"19,37",Crypto.com Arena,
"Tue, Jan 9, 2024",7:00p,Sacramento Kings,131,Detroit Pistons,110,Box Score,,"13,992",Little Caesars Arena,
"Tue, Jan 9, 2024",7:00p,Minnesota Timberwolves,113,Orlando Magic,92,Box Score,,"19,223",Kia Center,
"Tue, Jan 9, 2024",7:30p,Portland Trail Blazers,84,New York Knicks,112,Box Score,,"19,812",Madison Square Garden (IV),
"Tue, Jan 9, 2024",8:30p,Memphis Grizzlies,120,Dallas Mavericks,103,Box Score,,"20,116",American Airlines Center,
"Tue, Jan 9, 2024",10:30p,Toronto Raptors,131,Los Angeles Lakers,132,Box Score,,"18,997",Crypto.com Arena,
"Wed, Jan 10, 2024",7:00p,Minnesota Timberwolves,120,Boston Celtics,127,Box Score,OT,"19,156",TD Garden,
"Wed, Jan 10, 2024",7:00p,Sacramento Kings,123,Charlotte Hornets,98,Box Score,,"14,173",Spectrum Center,
"Wed, Jan 10, 2024",7:00p,San Antonio Spurs,130,Detroit Pistons,108,Box Score,,"17,833",Little Caesars Arena,
"Wed, Jan 10, 2024",7:00p,Washington Wizards,104,Indiana Pacers,112,Box Score,,"15,721",Gainbridge Fieldhouse,
"Wed, Jan 10, 2024",7:30p,Philadelphia 76ers,132,Atlanta Hawks,139,Box Score,OT,"16,089",State Farm Arena,
"Wed, Jan 10, 2024",7:30p,Oklahoma City Thunder,128,Miami Heat,120,Box Score,,"19,636",Kaseya Center,
"Wed, Jan 10, 2024",8:00p,Houston Rockets,119,Chicago Bulls,124,Box Score,OT,"21,149",United Center,
"Wed, Jan 10, 2024",8:30p,New Orleans Pelicans,141,Golden State Warriors,105,Box Score,,"18,064",Chase Center,
"Wed, Jan 10, 2024",10:00p,Denver Nuggets,111,Utah Jazz,124,Box Score,,"18,206",Delta Center,
"Wed, Jan 10, 2024",10:30p,Toronto Raptors,120,Los Angeles Clippers,126,Box Score,,"19,37",Crypto.com Arena,
"Thu, Jan 11, 2024",2:00p,Brooklyn Nets,102,Cleveland Cavaliers,111,Box Score,,"15,887",AccorHotels Arena,"at Paris, France"
"Thu, Jan 11, 2024",7:30p,Boston Celtics,102,Milwaukee Bucks,135,Box Score,,"17,781",Fiserv Forum,
"Thu, Jan 11, 2024",8:00p,Portland Trail Blazers,77,Oklahoma City Thunder,139,Box Score,,"15,828",Paycom Center,
"Thu, Jan 11, 2024",8:30p,New York Knicks,124,Dallas Mavericks,128,Box Score,,"20,04",American Airlines Center,
"Thu, Jan 11, 2024",10:00p,Phoenix Suns,127,Los Angeles Lakers,109,Box Score,,"18,416",Crypto.com Arena,
"Fri, Jan 12, 2024",7:30p,Indiana Pacers,126,Atlanta Hawks,108,Box Score,,"15,596",State Farm Arena,
"Fri, Jan 12, 2024",7:30p,Houston Rockets,112,Detroit Pistons,110,Box Score,,"13,987",Little Caesars Arena,
"Fri, Jan 12, 2024",7:30p,Sacramento Kings,93,Philadelphia 76ers,112,Box Score,,"19,766",Wells Fargo Center,
"Fri, Jan 12, 2024",8:00p,Golden State Warriors,140,Chicago Bulls,131,Box Score,,"21,153",United Center,
"Fri, Jan 12, 2024",8:00p,Los Angeles Clippers,128,Memphis Grizzlies,119,Box Score,,"16,617",FedEx Forum,
"Fri, Jan 12, 2024",8:00p,Orlando Magic,96,Miami Heat,99,Box Score,,"19,65",Kaseya Center,
"Fri, Jan 12, 2024",8:00p,Portland Trail Blazers,93,Minnesota Timberwolves,116,Box Score,,"18,024",Target Center,
"Fri, Jan 12, 2024",8:00p,Charlotte Hornets,99,San Antonio Spurs,135,Box Score,,"18,073",Frost Bank Center,
"Fri, Jan 12, 2024",9:30p,Toronto Raptors,113,Utah Jazz,145,Box Score,,"18,206",Delta Center,
"Fri, Jan 12, 2024",10:00p,New Orleans Pelicans,113,Denver Nuggets,125,Box Score,,"19,638",Ball Arena,
"Sat, Jan 13, 2024",7:00p,Houston Rockets,113,Boston Celtics,145,Box Score,,"19,156",TD Garden,
"Sat, Jan 13, 2024",7:30p,Washington Wizards,127,Atlanta Hawks,99,Box Score,,"17,108",State Farm Arena,
"Sat, Jan 13, 2024",8:00p,New York Knicks,106,Memphis Grizzlies,94,Box Score,,"16,598",FedEx Forum,
"Sat, Jan 13, 2024",8:00p,Golden State Warriors,118,Milwaukee Bucks,129,Box Score,,"18,009",Fiserv Forum,
"Sat, Jan 13, 2024",8:00p,Orlando Magic,100,Oklahoma City Thunder,112,Box Score,,"18,203",Paycom Center,
"Sat, Jan 13, 2024",8:30p,New Orleans Pelicans,118,Dallas Mavericks,108,Box Score,,"20,155",American Airlines Center,
"Sat, Jan 13, 2024",8:30p,Chicago Bulls,122,San Antonio Spurs,116,Box Score,,"18,354",Frost Bank Center,
"Sat, Jan 13, 2024",9:30p,Los Angeles Lakers,125,Utah Jazz,132,Box Score,,"18,206",Delta Center,
"Sun, Jan 14, 2024",3:30p,Indiana Pacers,109,Denver Nuggets,117,Box Score,,"19,631",Ball Arena,
"Sun, Jan 14, 2024",6:00p,Charlotte Hornets,87,Miami Heat,104,Box Score,,"19,831",Kaseya Center,
"Sun, Jan 14, 2024",7:00p,Sacramento Kings,142,Milwaukee Bucks,143,Box Score,OT,"17,612",Fiserv Forum,
"Sun, Jan 14, 2024",7:00p,Los Angeles Clippers,105,Minnesota Timberwolves,109,Box Score,,"18,024",Target Center,
"Sun, Jan 14, 2024",9:00p,Phoenix Suns,127,Portland Trail Blazers,116,Box Score,,"18,071",Moda Center,
"Mon, Jan 15, 2024",1:00p,Houston Rockets,115,Philadelphia 76ers,124,Box Score,,"20,822",Wells Fargo Center,
"Mon, Jan 15, 2024",2:30p,New Orleans Pelicans,120,Dallas Mavericks,125,Box Score,,"20,01",American Airlines Center,
"Mon, Jan 15, 2024",3:00p,Orlando Magic,98,New York Knicks,94,Box Score,,"19,812",Madison Square Garden (IV),
"Mon, Jan 15, 2024",3:00p,Detroit Pistons,129,Washington Wizards,117,Box Score,,"15,156",Capital One Arena,
"Mon, Jan 15, 2024",3:30p,San Antonio Spurs,99,Atlanta Hawks,109,Box Score,,"17,447",State Farm Arena,
"Mon, Jan 15, 2024",6:00p,Golden State Warriors,107,Memphis Grizzlies,116,Box Score,,"16,612",FedEx Forum,
"Mon, Jan 15, 2024",7:00p,Chicago Bulls,91,Cleveland Cavaliers,109,Box Score,,"19,432",Rocket Mortgage Fieldhouse,
"Mon, Jan 15, 2024",7:30p,Miami Heat,96,Brooklyn Nets,95,Box Score,OT,"17,893",Barclays Center,
"Mon, Jan 15, 2024",7:30p,Boston Celtics,105,Toronto Raptors,96,Box Score,,"19,278",Scotiabank Arena,
"Mon, Jan 15, 2024",9:00p,Indiana Pacers,105,Utah Jazz,132,Box Score,,"18,206",Delta Center,
"Mon, Jan 15, 2024",10:30p,Oklahoma City Thunder,105,Los Angeles Lakers,112,Box Score,,"18,997",Crypto.com Arena,
"Tue, Jan 16, 2024",7:30p,Denver Nuggets,121,Philadelphia 76ers,126,Box Score,,"19,775",Wells Fargo Center,
"Tue, Jan 16, 2024",9:00p,Sacramento Kings,117,Phoenix Suns,119,Box Score,,"17,071",Footprint Center,
"Tue, Jan 16, 2024",10:00p,Oklahoma City Thunder,117,Los Angeles Clippers,128,Box Score,,"19,37",Crypto.com Arena,
"Wed, Jan 17, 2024",7:00p,Minnesota Timberwolves,124,Detroit Pistons,117,Box Score,,"16,022",Little Caesars Arena,
"Wed, Jan 17, 2024",7:30p,Orlando Magic,104,Atlanta Hawks,106,Box Score,,"14,541",State Farm Arena,
"Wed, Jan 17, 2024",7:30p,San Antonio Spurs,98,Boston Celtics,117,Box Score,,"19,156",TD Garden,
"Wed, Jan 17, 2024",7:30p,Milwaukee Bucks,95,Cleveland Cavaliers,135,Box Score,,"19,432",Rocket Mortgage Fieldhouse,
"Wed, Jan 17, 2024",7:30p,Houston Rockets,94,New York Knicks,109,Box Score,,"19,439",Madison Square Garden (IV),
"Wed, Jan 17, 2024",7:30p,Miami Heat,97,Toronto Raptors,121,Box Score,,"19,631",Scotiabank Arena,
"Wed, Jan 17, 2024",8:00p,Charlotte Hornets,112,New Orleans Pelicans,132,Box Score,,"16,093",Smoothie King Center,
"Wed, Jan 17, 2024",8:30p,Dallas Mavericks,110,Los Angeles Lakers,127,Box Score,,"18,338",Crypto.com Arena,
"Wed, Jan 17, 2024",10:00p,Brooklyn Nets,103,Portland Trail Blazers,105,Box Score,,"17,021",Moda Center,
"Thu, Jan 18, 2024",7:30p,Washington Wizards,109,New York Knicks,113,Box Score,,"19,466",Madison Square Garden (IV),
"Thu, Jan 18, 2024",7:30p,Chicago Bulls,116,Toronto Raptors,110,Box Score,,"19,312",Scotiabank Arena,
"Thu, Jan 18, 2024",9:00p,Oklahoma City Thunder,134,Utah Jazz,129,Box Score,,"18,206",Delta Center,
"Thu, Jan 18, 2024",10:00p,Memphis Grizzlies,103,Minnesota Timberwolves,118,Box Score,,"18,024",Target Center,
"Thu, Jan 18, 2024",10:00p,Indiana Pacers,126,Sacramento Kings,121,Box Score,,"17,832",Golden 1 Center,
"Fri, Jan 19, 2024",7:00p,San Antonio Spurs,120,Charlotte Hornets,124,Box Score,,"19,093",Spectrum Center,
"Fri, Jan 19, 2024",7:00p,Philadelphia 76ers,124,Orlando Magic,109,Box Score,,"19,063",Kia Center,
"Fri, Jan 19, 2024",7:30p,Denver Nuggets,102,Boston Celtics,100,Box Score,,"19,156",TD Garden,
"Fri, Jan 19, 2024",8:00p,Atlanta Hawks,109,Miami Heat,108,Box Score,,"20,04",Kaseya Center,
"Fri, Jan 19, 2024",8:00p,Phoenix Suns,123,New Orleans Pelicans,109,Box Score,,"18,686",Smoothie King Center,
"Fri, Jan 19, 2024",10:00p,Indiana Pacers,115,Portland Trail Blazers,118,Box Score,,"18,595",Moda Center,
"Fri, Jan 19, 2024",10:30p,Brooklyn Nets,130,Los Angeles Lakers,112,Box Score,,"18,997",Crypto.com Arena,
"Sat, Jan 20, 2024",3:00p,Milwaukee Bucks,141,Detroit Pistons,135,Box Score,,"19,996",Little Caesars Arena,
"Sat, Jan 20, 2024",7:00p,Philadelphia 76ers,97,Charlotte Hornets,89,Box Score,,"18,261",Spectrum Center,
"Sat, Jan 20, 2024",7:00p,San Antonio Spurs,131,Washington Wizards,127,Box Score,,"17,922",Capital One Arena,
"Sat, Jan 20, 2024",7:30p,Cleveland Cavaliers,116,Atlanta Hawks,95,Box Score,,"17,047",State Farm Arena,
"Sat, Jan 20, 2024",7:30p,Toronto Raptors,100,New York Knicks,126,Box Score,,"19,812",Madison Square Garden (IV),
"Sat, Jan 20, 2024",8:00p,Memphis Grizzlies,96,Chicago Bulls,125,Box Score,,"21,441",United Center,
"Sat, Jan 20, 2024",8:00p,Utah Jazz,126,Houston Rockets,127,Box Score,OT,"16,618",Toyota Center,
"Sat, Jan 20, 2024",8:00p,Oklahoma City Thunder,102,Minnesota Timberwolves,97,Box Score,,,Target Center,
"Sun, Jan 21, 2024",3:30p,Brooklyn Nets,114,Los Angeles Clippers,125,Box Score,,"19,37",Crypto.com Arena,
"Sun, Jan 21, 2024",6:00p,Miami Heat,87,Orlando Magic,105,Box Score,,"18,102",Kia Center,
"Sun, Jan 21, 2024",6:00p,Denver Nuggets,113,Washington Wizards,104,Box Score,,"17,107",Capital One Arena,
"Sun, Jan 21, 2024",7:00p,Boston Celtics,116,Houston Rockets,107,Box Score,,"18,055",Toyota Center,
"Sun, Jan 21, 2024",8:00p,Indiana Pacers,110,Phoenix Suns,117,Box Score,,"17,071",Footprint Center,
"Sun, Jan 21, 2024",10:00p,Portland Trail Blazers,110,Los Angeles Lakers,134,Box Score,,"18,997",Crypto.com Arena,
"Mon, Jan 22, 2024",7:00p,Milwaukee Bucks,122,Detroit Pistons,113,Box Score,,"17,201",Little Caesars Arena,
"Mon, Jan 22, 2024",7:00p,Cleveland Cavaliers,126,Orlando Magic,99,Box Score,,"19,301",Kia Center,
"Mon, Jan 22, 2024",7:00p,San Antonio Spurs,123,Philadelphia 76ers,133,Box Score,,"20,511",Wells Fargo Center,
"Mon, Jan 22, 2024",7:30p,Memphis Grizzlies,108,Toronto Raptors,100,Box Score,,"18,577",Scotiabank Arena,
"Mon, Jan 22, 2024",8:00p,Charlotte Hornets,128,Minnesota Timberwolves,125,Box Score,,"18,024",Target Center,
"Mon, Jan 22, 2024",8:30p,Boston Celtics,119,Dallas Mavericks,110,Box Score,,"20,277",American Airlines Center,
"Mon, Jan 22, 2024",9:00p,Chicago Bulls,113,Phoenix Suns,115,Box Score,,"17,071",Footprint Center,
"Mon, Jan 22, 2024",10:00p,Atlanta Hawks,107,Sacramento Kings,122,Box Score,,"17,832",Golden 1 Center,
"Tue, Jan 23, 2024",7:00p,Denver Nuggets,114,Indiana Pacers,109,Box Score,,"16,004",Gainbridge Fieldhouse,
"Tue, Jan 23, 2024",7:30p,New York Knicks,108,Brooklyn Nets,103,Box Score,,"17,732",Barclays Center,
"Tue, Jan 23, 2024",8:00p,Utah Jazz,124,New Orleans Pelicans,153,Box Score,,"16,032",Smoothie King Center,
"Tue, Jan 23, 2024",8:00p,Portland Trail Blazers,109,Oklahoma City Thunder,111,Box Score,,"15,874",Paycom Center,
"Tue, Jan 23, 2024",10:00p,Los Angeles Lakers,116,Los Angeles Clippers,127,Box Score,,"19,37",Crypto.com Arena,
"Wed, Jan 24, 2024",7:00p,Charlotte Hornets,106,Detroit Pistons,113,Box Score,,"15,02",Little Caesars Arena,
"Wed, Jan 24, 2024",7:00p,Minnesota Timberwolves,118,Washington Wizards,107,Box Score,,"15,446",Capital One Arena,
"Wed, Jan 24, 2024",7:30p,Memphis Grizzlies,105,Miami Heat,96,Box Score,,"19,6",Kaseya Center,
"Wed, Jan 24, 2024",8:00p,Portland Trail Blazers,137,Houston Rockets,131,Box Score,OT,"18,055",Toyota Center,
"Wed, Jan 24, 2024",8:00p,Cleveland Cavaliers,116,Milwaukee Bucks,126,Box Score,,"17,51",Fiserv Forum,
"Wed, Jan 24, 2024",8:30p,Phoenix Suns,132,Dallas Mavericks,109,Box Score,,"20,202",American Airlines Center,
"Wed, Jan 24, 2024",9:30p,Oklahoma City Thunder,140,San Antonio Spurs,114,Box Score,,"18,13",Frost Bank Center,
"Wed, Jan 24, 2024",10:00p,Atlanta Hawks,112,Golden State Warriors,134,Box Score,,"18,064",Chase Center,
"Thu, Jan 25, 2024",7:00p,Philadelphia 76ers,122,Indiana Pacers,134,Box Score,,"15,699",Gainbridge Fieldhouse,
"Thu, Jan 25, 2024",7:00p,Utah Jazz,123,Washington Wizards,108,Box Score,,"14,027",Capital One Arena,
"Thu, Jan 25, 2024",7:30p,Minnesota Timberwolves,96,Brooklyn Nets,94,Box Score,,"17,732",Barclays Center,
"Thu, Jan 25, 2024",7:30p,Boston Celtics,143,Miami Heat,110,Box Score,,"20,074",Kaseya Center,
"Thu, Jan 25, 2024",7:30p,Denver Nuggets,84,New York Knicks,122,Box Score,,"19,812",Madison Square Garden (IV),
"Thu, Jan 25, 2024",10:00p,Sacramento Kings,134,Golden State Warriors,133,Box Score,,"18,064",Chase Center,
"Thu, Jan 25, 2024",10:30p,Chicago Bulls,132,Los Angeles Lakers,141,Box Score,,"18,997",Crypto.com Arena,
"Fri, Jan 26, 2024",7:00p,Dallas Mavericks,148,Atlanta Hawks,143,Box Score,,"16,149",State Farm Arena,
"Fri, Jan 26, 2024",7:00p,Houston Rockets,138,Charlotte Hornets,104,Box Score,,"16,164",Spectrum Center,
"Fri, Jan 26, 2024",7:00p,Phoenix Suns,131,Indiana Pacers,133,Box Score,,"17,274",Gainbridge Fieldhouse,
"Fri, Jan 26, 2024",7:30p,Los Angeles Clippers,127,Toronto Raptors,107,Box Score,,"19,8",Scotiabank Arena,
"Fri, Jan 26, 2024",8:00p,Orlando Magic,106,Memphis Grizzlies,107,Box Score,,"16,823",FedEx Forum,
"Fri, Jan 26, 2024",8:00p,Cleveland Cavaliers,112,Milwaukee Bucks,100,Box Score,,"17,855",Fiserv Forum,
"Fri, Jan 26, 2024",8:00p,Oklahoma City Thunder,107,New Orleans Pelicans,83,Box Score,,"18,624",Smoothie King Center,
"Fri, Jan 26, 2024",9:30p,Portland Trail Blazers,100,San Antonio Spurs,116,Box Score,,"17,274",Frost Bank Center,
"Sat, Jan 27, 2024",12:00p,Washington Wizards,118,Detroit Pistons,104,Box Score,,"16,922",Little Caesars Arena,
"Sat, Jan 27, 2024",3:00p,Miami Heat,109,New York Knicks,125,Box Score,,"19,812",Madison Square Garden (IV),
"Sat, Jan 27, 2024",5:30p,Philadelphia 76ers,105,Denver Nuggets,111,Box Score,,"19,805",Ball Arena,
"Sat, Jan 27, 2024",6:00p,Houston Rockets,104,Brooklyn Nets,106,Box Score,,"17,732",Barclays Center,
"Sat, Jan 27, 2024",7:00p,Los Angeles Clippers,115,Boston Celtics,96,Box Score,,"19,156",TD Garden,
"Sat, Jan 27, 2024",7:00p,Utah Jazz,134,Charlotte Hornets,122,Box Score,,"17,633",Spectrum Center,
"Sat, Jan 27, 2024",8:00p,New Orleans Pelicans,117,Milwaukee Bucks,141,Box Score,,"17,94",Fiserv Forum,
"Sat, Jan 27, 2024",8:30p,Los Angeles Lakers,145,Golden State Warriors,144,Box Score,2OT,"18,064",Chase Center,
"Sat, Jan 27, 2024",8:30p,Minnesota Timberwolves,112,San Antonio Spurs,113,Box Score,,"17,726",Frost Bank Center,
"Sat, Jan 27, 2024",9:00p,Sacramento Kings,120,Dallas Mavericks,115,Box Score,,"20,373",American Airlines Center,
"Sun, Jan 28, 2024",2:00p,Oklahoma City Thunder,104,Detroit Pistons,120,Box Score,,"16,861",Little Caesars Arena,
"Sun, Jan 28, 2024",3:30p,Memphis Grizzlies,110,Indiana Pacers,116,Box Score,,"16,519",Gainbridge Fieldhouse,
"Sun, Jan 28, 2024",6:00p,Toronto Raptors,125,Atlanta Hawks,126,Box Score,,"15,658",State Farm Arena,
"Sun, Jan 28, 2024",6:00p,Phoenix Suns,98,Orlando Magic,113,Box Score,,"18,823",Kia Center,
"Sun, Jan 28, 2024",9:00p,Chicago Bulls,104,Portland Trail Blazers,96,Box Score,,"17,899",Moda Center,
"Mon, Jan 29, 2024",7:00p,New York Knicks,113,Charlotte Hornets,92,Box Score,,"15,546",Spectrum Center,
"Mon, Jan 29, 2024",7:00p,Los Angeles Clippers,108,Cleveland Cavaliers,118,Box Score,,"19,432",Rocket Mortgage Fieldhouse,
"Mon, Jan 29, 2024",7:30p,New Orleans Pelicans,112,Boston Celtics,118,Box Score,,"19,156",TD Garden,
"Mon, Jan 29, 2024",7:30p,Utah Jazz,114,Brooklyn Nets,147,Box Score,,"16,054",Barclays Center,
"Mon, Jan 29, 2024",7:30p,Phoenix Suns,118,Miami Heat,105,Box Score,,"19,6",Kaseya Center,
"Mon, Jan 29, 2024",8:00p,Los Angeles Lakers,119,Houston Rockets,135,Box Score,,"18,055",Toyota Center,
"Mon, Jan 29, 2024",8:00p,Sacramento Kings,103,Memphis Grizzlies,94,Box Score,,"15,333",FedEx Forum,
"Mon, Jan 29, 2024",8:00p,Minnesota Timberwolves,107,Oklahoma City Thunder,101,Box Score,,"16,87",Paycom Center,
"Mon, Jan 29, 2024",8:00p,Washington Wizards,118,San Antonio Spurs,113,Box Score,,"17,02",Frost Bank Center,
"Mon, Jan 29, 2024",8:30p,Orlando Magic,129,Dallas Mavericks,131,Box Score,,"20,02",American Airlines Center,
"Mon, Jan 29, 2024",9:00p,Milwaukee Bucks,107,Denver Nuggets,113,Box Score,,"19,801",Ball Arena,
"Mon, Jan 29, 2024",10:00p,Philadelphia 76ers,104,Portland Trail Blazers,130,Box Score,,"17,128",Moda Center,
"Tue, Jan 30, 2024",7:30p,Los Angeles Lakers,122,Atlanta Hawks,138,Box Score,,"17,871",State Farm Arena,
